assembly_id,component_id,quantity,part_name,part_type,unit_cost,component_state,invalid_component_flag
WHEEL,RIM,1,Rim,PURCHASED,25,KNOWN,0
WHEEL,HUB,1,Hub,PURCHASED,18,KNOWN,0
WHEEL,SPOKE,32,Spoke,PURCHASED,1.25,KNOWN,0
BRAKE,CALIPER,1,Brake Caliper,PURCHASED,22,KNOWN,0
BRAKE,PAD,2,Brake Pad,PURCHASED,4,KNOWN,0
BICYCLE,FRAME,1,Frame,PURCHASED,120,KNOWN,0
BICYCLE,SEAT,1,Seat,PURCHASED,30,KNOWN,0
BICYCLE,WHEEL,2,Wheel Assembly,ASSEMBLY,0,KNOWN,0
BICYCLE,BRAKE,2,BRAKE Assembly,ASSEMBLY,0,KNOWN,0
BICYCLE,GHOST_MODULE,1,\N,\N,\N,UNKNOWN_COMPONENT,1
