transaction_id,entry_id,account_id,direction,quantity,direction_state,direction_sign,invalid_direction_flag,signed_quantity
T100,E1001,CASH,DEBIT,100.00,VALID,1,0,100.00
T100,E1002,REVENUE,CREDIT,100.00,VALID,-1,0,-100.00
T200,E2001,EXPENSE,DEBIT,75.00,VALID,1,0,75.00
T200,E2002,CASH,CREDIT,60.00,VALID,-1,0,-60.00
T300,E3001,INVENTORY,DEBIT,50.00,VALID,1,0,50.00
T300,E3002,TAX,DEBIT,5.00,VALID,1,0,5.00
T300,E3003,CASH,CREDIT,55.00,VALID,-1,0,-55.00
T400,E4001,EQUIPMENT,DEBIT,120.00,VALID,1,0,120.00
T400,E4002,CASH,CREDIT,100.00,VALID,-1,0,-100.00
T400,E4003,PAYABLE,CREDIT,20.00,VALID,-1,0,-20.00
T500,E5001,SUSPENSE,SIDEWAYS,25.00,INVALID,0,1,0.00
T500,E5002,CASH,CREDIT,25.00,VALID,-1,0,-25.00
