transaction_id,entry_id,account_id,direction,quantity,direction_state,direction_sign,invalid_direction_flag,signed_quantity
T100,E1001,CASH,DEBIT,100,VALID,1,0,100
T100,E1002,REVENUE,CREDIT,100,VALID,-1,0,-100
T200,E2001,EXPENSE,DEBIT,75,VALID,1,0,75
T200,E2002,CASH,CREDIT,60,VALID,-1,0,-60
T300,E3001,INVENTORY,DEBIT,50,VALID,1,0,50
T300,E3002,TAX,DEBIT,5,VALID,1,0,5
T300,E3003,CASH,CREDIT,55,VALID,-1,0,-55
T400,E4001,EQUIPMENT,DEBIT,120,VALID,1,0,120
T400,E4002,CASH,CREDIT,100,VALID,-1,0,-100
T400,E4003,PAYABLE,CREDIT,20,VALID,-1,0,-20
T500,E5001,SUSPENSE,SIDEWAYS,25,INVALID,0,1,0
T500,E5002,CASH,CREDIT,25,VALID,-1,0,-25
